Step,Mu,Sigma,Hamiltonian,Error
493,0.837368,0.68486,-0.322766,0.0315926
494,0.827282,0.705158,-0.324098,0.0276951
495,0.827282,0.705158,-0.3778,0.0307754
496,0.827282,0.705158,-0.375216,0.0231288
497,0.827282,0.705158,-0.350615,0.036692
498,0.774243,0.710866,-0.376022,0.0195905
499,0.774243,0.710866,-0.339858,0.028042
500,0.744173,0.669838,-0.401946,0.0140143
501,0.744173,0.669838,-0.367985,0.0198485
502,0.744173,0.669838,-0.347392,0.0215023
503,0.744173,0.669838,-0.401304,0.00936543
504,0.744173,0.669838,-0.373781,0.0176615
505,0.744173,0.669838,-0.343363,0.025616
506,0.797307,0.724593,-0.333609,0.021105
507,0.805723,0.721498,-0.380332,0.0180987
508,0.805723,0.721498,-0.32434,0.0298294
509,0.717195,0.681693,-0.362194,0.0119641
510,0.717195,0.681693,-0.316531,0.027424
511,0.711517,0.631777,-0.382919,0.0111954
512,0.711517,0.631777,-0.375324,0.00848123
513,0.711517,0.631777,-0.357157,0.014523
514,0.711517,0.631777,-0.372717,0.00900985
515,0.711517,0.631777,-0.380984,0.0126391
516,0.728785,0.625487,-0.388688,0.00841926
517,0.728785,0.625487,-0.372372,0.0115551
518,0.728785,0.625487,-0.371835,0.0123299
519,0.728785,0.625487,-0.391231,0.00831672
520,0.822224,0.647826,-0.415003,0.0145651
521,0.822224,0.647826,-0.399086,0.0180298
522,0.822224,0.647826,-0.40354,0.0123017
523,0.822224,0.647826,-0.420883,0.0117787
524,0.822224,0.647826,-0.399833,0.0168588
525,0.822224,0.647826,-0.414709,0.0110426
526,0.822224,0.647826,-0.39671,0.0155896
527,0.822224,0.647826,-0.374574,0.0192621
528,0.822224,0.647826,-0.381559,0.0228173
529,0.822224,0.647826,-0.392543,0.0180216
530,0.822224,0.647826,-0.363746,0.0265776
531,0.772035,0.66248,-0.390506,0.0185161
532,0.787211,0.707588,-0.341043,0.0289707
533,0.787211,0.707588,-0.369317,0.0240556
534,0.787211,0.707588,-0.333002,0.0273226
535,0.776908,0.66119,-0.392147,0.0169626
536,0.776908,0.66119,-0.387649,0.0122791
537,0.776908,0.66119,-0.395599,0.0121116
538,0.776908,0.66119,-0.365869,0.0224145
539,0.814082,0.660191,-0.357059,0.0220893
540,0.814082,0.660191,-0.318918,0.0470147
541,0.887463,0.691436,-0.313105,0.0476621
542,0.887463,0.691436,-0.31518,0.0364471
543,0.898825,0.59527,-0.312738,0.0161176
544,0.890983,0.621961,-0.357277,0.0168409
545,0.890983,0.621961,-0.368395,0.0142314
546,0.833773,0.679394,-0.334883,0.0360617
547,0.833773,0.679394,-0.322228,0.0503994
548,0.833773,0.679394,-0.335306,0.0362378
549,0.828578,0.670623,-0.39657,0.0188236
550,0.828578,0.670623,-0.35334,0.0283162
551,0.834423,0.626279,-0.376428,0.0207579
552,0.822198,0.585483,-0.380675,0.00960316
553,0.845422,0.615643,-0.411442,0.00825308
554,0.845422,0.615643,-0.380096,0.0198501
555,0.845422,0.615643,-0.355521,0.0169415
556,0.845422,0.615643,-0.363383,0.0247796
557,0.845422,0.615643,-0.382653,0.0130592
558,0.845422,0.615643,-0.364167,0.0184822
559,0.845422,0.615643,-0.319219,0.0247837
560,0.842109,0.669493,-0.354674,0.0323023
561,0.760984,0.659286,-0.410217,0.0113347
562,0.760984,0.659286,-0.388929,0.0181924
563,0.760984,0.659286,-0.400181,0.0120067
564,0.760984,0.659286,-0.404445,0.00971081
565,0.760984,0.659286,-0.414453,0.00994465
566,0.760984,0.659286,-0.366479,0.0178051
567,0.702623,0.658181,-0.33904,0.0111697
568,0.778505,0.729339,-0.333169,0.0287171
569,0.695807,0.652903,-0.350185,0.0122574
570,0.695807,0.652903,-0.341165,0.0148655
571,0.707377,0.627907,-0.363944,0.00659382
572,0.707377,0.627907,-0.357414,0.0124307
573,0.707377,0.627907,-0.375316,0.0107898
574,0.707377,0.627907,-0.361559,0.00962133
575,0.707377,0.627907,-0.3695,0.0130899
576,0.784367,0.591353,-0.393334,0.0098609
577,0.784367,0.591353,-0.373351,0.0122992
578,0.784367,0.591353,-0.378419,0.00961681
579,0.880026,0.637357,-0.378084,0.016181
